title,rating,reviewers,published
The Lorax,4.35,236154,1971
The Hunger Games,4.34,5309089,2008
The Lucky One,4.11,294867,2008
"Abraham Lincoln, Vampire Hunter",3.7,121711,2010
Cloud Atlas,4.01,181486,2004
Les Misérables,4.15,593251,1862
Life of Pi,3.89,1109293,2001
On the Road,3.64,292707,1955
Cosmopolis,3.22,13076,2003
Another Bullshit Night in Suck City,3.78,9303,2004
The Perks of Being a Wallflower,4.21,1023591,1999
Anna Karenina,4.03,509605,1878
Bel Ami,3.82,22437,1985
Coriolanus,3.71,10365,1605
Savages,3.84,14043,2010
Jane Eyre,4.11,1337174,1847
The Lincoln Lawyer,4.15,167854,2005
Water for Elephants,4.07,1160261,2006
The Help,4.46,1720042,2009
We Need to Talk About Kevin,4.07,124634,2003
The Girl with the Dragon Tattoo,4.12,2091678,2005
I Am Number Four,3.94,282971,2010
Horrid Henry,3.95,1856,1994
One for the Money,4.03,426366,1994
Radio Free Albemuth,3.8,4870,1985
Winnie-the-Pooh,4.34,223867,1926
Salmon Fishing in the Yemen,3.51,11428,2007
Tinker Tailor Soldier Spy,4.05,54214,1974
The Three Musketeers,4.06,235922,1844
An Invisible Sign of My Own,3.68,4007,2000
Atlas Shrugged,3.68,312118,1957
Beastly,3.84,161652,2007
Mars Needs Moms!,4.11,809,2007
Mr. Popper's Penguins,3.96,54895,1938
Priest,3.74,538,2002
Snow Flower and the Secret Fan,4.06,304575,2005
Brighton Rock,3.72,17552,1938
Dear John,4.02,477892,2006
Gulliver's Travels,3.56,197678,1726
The Killer Inside Me by,3.89,15120,1952
The Last Song,4.14,459404,2008
Winter's Bone,3.92,24520,2006
Shutter Island,4.08,131796,2003
True Grit,4.13,30624,1968
The Death and Life of Charlie St. Cloud,4.01,52046,2004
Flipped,3.94,85610,2001
It's Kind of a Funny Story,4.14,178879,2006
Screenplay and novel Let the Right One In,4.07,71336,2004
Never Let Me Go,3.81,357298,2005
Red,3.49,2114,2003
Scott Pilgrim,4.24,51918,2005
The Tempest,3.81,145507,1623
Twelve,3.2,3342,2002
Youth in Revolt,4.02,8857,1993
Alice's Adventures in Wonderland and Through the Looking-Glass,4.07,402120,1872
Diary of a Wimpy Kid,3.97,297045,2004
How to Train Your Dragon,3.86,28556,2003
Vampire Blood,4.12,34450,2000
Fantastic Mr Fox,4.04,81960,1970
The Road,3.96,591674,2006
The Spirit,3.91,784,2005
The Lovely Bones,3.78,1740671,2002
The Taking of Pelham One Two Three,3.76,1672,1973
The Time Traveler's Wife,3.95,1373156,2003
Where the Wild Things Are,4.22,681890,1963
Cloudy with a Chance of Meatballs,4.16,109042,1978
Coraline,4.04,374925,2002
Hotel for Dogs,3.76,886,1971
Inkheart,3.86,312428,2003
Killshot,3.72,4887,1989
My Sister's Keeper,4.06,931087,2004
Up in the Air,2.86,4309,2001
The City of Ember,3.85,214718,2003
The Boy in the Striped Pajamas,4.11,362342,2006
Brideshead Revisited,4,80745,1945
Der Vorleser,3.74,148393,1995
Revolutionary Road,3.9,68016,1961
Nights in Rodanthe,3.83,140828,2002
The Spiderwick Chronicles,3.87,64690,2003
The Secret Life of Bees,4.02,978398,2001
Journey to the Center of the Earth,3.85,118935,1864
Nick & Norah's Infinite Playlist,3.72,73873,2006
The Curious Case of Benjamin Button,3.53,37750,1922
Appaloosa,3.97,5924,2005
Blindness,4.09,145281,1995
Body of Lies,3.7,2108,2007
Choke,3.69,168626,2001
Horton Hears a Who!,4.17,85884,1954
House,3.59,20853,2006
The Informers,3.39,15355,1994
Jumper,3.9,11615,1992
the Kit series,4.06,2011,2000
Let the Right One In,4.07,71336,2004
The Life Before Her Eyes,3.33,1424,2002
Miracle at St. Anna by,3.372,2353,2001
Miss Pettigrew Lives for a Day,3.97,10870,1938
The Ruins,3.51,25226,2006
Wanted,3.71,12225,2005
Gooseumps,3.83,22089,1992
Room,4.04,594967,2010
El secreto de sus ojos,3.86,2757,2005
The Revenant,3.92,31933,2002
The Driftless Area,3.58,838,2006
Into the Forest,3.79,8862,1996
Z for Zachariah,3.64,12136,1974
Inherent Vice,3.88,230538,2011
Before I Go to Sleep,3.88,230538,2011
A Long Way Down,3.41,70152,2005
The Giver,4.12,1393080,1993
The Fault in Our Stars,4.25,2733464,2012
Vampire Academy,4.13,476710,2007
Winter's Tale,3.5,24108,1983
Divergent,4.23,2392566,2011
Trash,3.66,8696,2010
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",4.22,154301,1972
The Maze Runner,4.03,835103,2009
Gone Girl,4.04,1755134,2012
The Best of Me,3.91,125082,2010
This Is Where I Leave You,3.89,117857,2009
Hector and the Search for Happiness,3.47,11933,2002
If I Stay,3.95,609669,2009
A Walk Among the Tombstones,3.92,4748,1992
Me and Earl and the Dying Girl,3.57,103004,2012
Warm Bodies,3.93,94048,2010
Beautiful Creatures,3.76,481231,2009
Safe Haven,4.2,291019,2010
Admission,3.35,6205,2009
The Host,3.84,799981,2008
The Company You Keep,3.66,609,2003
The Great Gatsby,3.9,3014183,1925
World War Z,4.01,360486,2006
The Spectacular Now,3.53,37459,2008
Paranoia,3.75,6550,2003
Austenland,3.54,73548,2007
City of Bones,4.12,1331090,2007
Horns,3.92,82599,2009
Great Expectations,3.76,541897,1860
Carrie,3.93,398899,1974
Ender's Game,4.3,930147,1985
The Secret Life of Walter Mitty,3.66,7367,1939
Labor Day,3.56,29289,2009
The Woman in Black,3.69,36712,1983
The Breadwinner,3.94,15591,2000
The Mountain Between Us,4.16,23421,2010
The Sense of an Ending,3.71,122387,2011
The House of Tomorrow,3.7,2127,2009
The Dark Tower,4.28,115214,2004
Captain Underpants,3.88,28123,1997
Before I Fall,3.91,254255,2010
The Circle,3.44,148780,2013
A Dog's Purpose,4.35,86824,2010
My Cousin Rachel,3.93,26531,1951
Murder on the Orient Express,4.16,241001,1926
The Dinner,3.21,107278,2009
"Everthing, Everthing",4.1,215882,2015
It,4.21,570346,1986
The Snowman,4.02,78562,2007
Tulip Fever,3.52,7489,1999
Berlin Syndrome,3.34,458,2012
A Monster Calls,4.37,152417,2011
Billy Lynn's Long Halftime Walk,3.81,25616,2012
How to Be Single,3.21,6582,2008
Live by Night,3.89,18750,2012
Me Before You,4.27,818228,2012
Miss Peregrine's Home for Peculiar Children,3.9,756842,2011
Nerve,3.39,15550,2012
Pride and Prejudice and Zombies,3.29,115527,2009
The 5th Wave,4.09,319074,2013
The BFG,4.22,288319,1982
The Choice,3.99,135341,2007
"Ben-Hur: A Tale of the Christ",4.02,29154,1880
The Light Between Oceans,4.01,319467,2012
The Ninth Life of Louis Drax,3.6,4246,2004
The Girl on the Train,3.89,1448038,2015
Fallen,3.74,428149,2009
Cell,3.65,163717,2005
A Hologram for the King,3.29,24070,2012
Still Alice,4.3,257050,2007
Fift Shades of Grey,3.66,1532929,2011
The Duff,3.85,157751,2010
Serena,3.52,30710,2008
The Longest Ride,4.14,94816,2012
Child 44,4.09,59499,2008
Far from the Madding Crowd,3.92,104680,1874
Paper Towns,3.87,693621,2008
The Martian,4.4,588810,2012
Dark Places,3.92,424991,2009
The Vow,3.77,23753,2000
The Wind in the Willows,3.98,150453,1908
Something Borrowed,3.83,452146,2004
One Day,3.77,256156,2009
extremely Loud & Incredibly Close,3.97,337101,2005
Michael Morpurgo,4.13,34042,1982
Cowboys and Aliens,2.69,813,2006
Jacob Grimm,4.11,20359,1857
The Lightning Thief,4.23,1542060,2005
The Garden of Eden,3.74,14557,1986
The Romantics,3.03,1670,2008
Beezus and Ramona,3.98,83902,1955
"Legend of the Guardians: The Owls of Ga'Hoole",3.89,21296,2003
The Call of the Wild,4.09,66187,1906
"I Love You, Beth Cooper",3.29,6989,2007
A Christmas Carol,4.03,486002,1843
The Adventures of Sherlock Holmes,4.3,199325,1892
Watchmen,4.35,432583,1987
Twilight,3.58,4145221,2005
What Just Happened?,3.32,262,2002
The Secret Scripture,3.77,14088,2008
The World Made Straight,3.85,2115,2006
The Hundred-Foot Journey,3.55,23190,2008
Syrup,3.88,4988,1999
Wonder,4.45,489632,2012
The Jungle Book,3.94,86877,1894
"Middle School: The Worst Years of My Life",4.02,16726,2011
Story of Your Life,4.33,38757,2006
Frankenstein,3.76,937572,1818